# RRT,ABITstar,AITstar,BFMT,BITstar,BKPIECE1,BiEST,EST,FMT,InformedRRTstar,KPIECE1,KStarStrategy,KStrategy,LBKPIECE1,LBTRRT,LazyLBTRRT,LazyPRM,LazyPRMstar,LazyRRT,NearestNeighbors,NearestNeighborsLinear,NumNeighborsFn,PDST,PRM,PRMstar,ProjEST,QRRT,RRT,RRTConnect,RRTXstatic,RRTsharp,RRTstar,SBL,SORRTstar,SPARS,SPARStwo,SST
9.505337,61.386230,60.034773,17.032462,61.516251,4.651443,13.253100,43.361258,20.128642,61.183028,61.684731,61.686396,61.692365,6.238302,61.229678,61.472094,61.342381,61.460496,1.349074,1.350520,1.355762,1.357076,61.226163,61.447721,61.685807,61.542339,61.543942,2.429556,1.384009,61.654081,61.495057,61.424029,31.074035,61.315456,0.000000,0.000000,0.000000
13890.000000,39632.000000,0.000000,23932.000000,36740.000000,6990.000000,20156.000000,62629.000000,24935.000000,75824.000000,95527.000000,0.000000,0.000000,9423.000000,83239.000000,72362.000000,3892.000000,5762.000000,2017.000000,0.000000,0.000000,0.000000,92391.000000,84058.000000,86580.000000,92551.000000,0.000000,3559.000000,1902.000000,89935.000000,89030.000000,65982.000000,46318.000000,74296.000000,0.000000,0.000000,0.000000
0.000630,0.000642,0.000000,0.000640,0.000667,0.000636,0.000625,0.000652,0.000663,0.000660,0.000619,0.000000,0.000000,0.000634,0.000637,0.000646,0.000666,0.000665,0.000630,0.000000,0.000000,0.000000,0.000628,0.000656,0.000650,0.000637,0.000000,0.000651,0.000695,0.000645,0.000650,0.000671,0.000642,0.000657,0.000000,0.000000,0.000000
10.330937,10.149660,10.149660,9.389441,9.099040,9.116117,9.071022,9.079420,9.447133,9.366345,9.344830,0.000000,0.000000,9.378483,9.311034,9.311034,9.309286,9.343280,9.409837,0.000000,0.000000,0.000000,9.225834,9.241357,9.213100,9.211769,0.000000,9.669971,9.266211,9.195166,9.317186,9.296085,9.221188,9.189849,0.000000,0.000000,0.000000
